CMDLINE c:\users\harry\.virtualenvs\asteroids-master-ovjyosp_\scripts\python.exe evolution.py
MEM 145.476562 1545266373.1870
MEM 145.476562 1545266373.3000
MEM 145.476562 1545266373.4099
MEM 145.476562 1545266373.5188
MEM 145.476562 1545266373.6301
MEM 145.476562 1545266373.7425
MEM 145.476562 1545266373.8544
MEM 145.476562 1545266373.9661
MEM 145.476562 1545266374.0884
MEM 145.476562 1545266374.2017
MEM 145.476562 1545266374.3105
MEM 145.476562 1545266374.4215
MEM 145.476562 1545266374.5284
MEM 145.476562 1545266374.6356
MEM 145.476562 1545266374.7446
MEM 145.476562 1545266374.8552
MEM 145.476562 1545266374.9630
MEM 145.476562 1545266375.0712
MEM 145.476562 1545266375.1787
MEM 145.476562 1545266375.2876
MEM 145.476562 1545266375.3986
MEM 145.476562 1545266375.5124
MEM 145.476562 1545266375.6248
MEM 145.476562 1545266375.7346
MEM 145.476562 1545266375.8453
MEM 145.476562 1545266375.9500
MEM 145.476562 1545266376.0601
MEM 145.476562 1545266376.1665
MEM 145.476562 1545266376.2772
MEM 145.476562 1545266376.3818
MEM 145.476562 1545266376.4881
MEM 145.476562 1545266376.5905
MEM 145.476562 1545266376.7014
MEM 145.476562 1545266376.8094
MEM 145.476562 1545266376.9155
MEM 145.476562 1545266377.0199
MEM 145.476562 1545266377.1320
MEM 145.476562 1545266377.2427
MEM 145.476562 1545266377.3481
MEM 145.476562 1545266377.4578
MEM 145.476562 1545266377.5684
MEM 145.476562 1545266377.6775
MEM 145.476562 1545266377.7884
MEM 145.476562 1545266377.9015
MEM 145.476562 1545266378.0129
MEM 145.476562 1545266378.1237
MEM 145.476562 1545266378.2345
MEM 145.476562 1545266378.3475
MEM 145.476562 1545266378.4578
MEM 145.476562 1545266378.5662
MEM 145.476562 1545266378.6737
MEM 145.476562 1545266378.7795
MEM 145.476562 1545266378.8860
MEM 145.476562 1545266378.9991
MEM 145.476562 1545266379.1108
MEM 145.476562 1545266379.2213
MEM 145.476562 1545266379.3366
MEM 145.476562 1545266379.4455
MEM 145.476562 1545266379.5590
MEM 145.476562 1545266379.6711
MEM 145.476562 1545266379.7862
MEM 145.476562 1545266379.8950
MEM 145.476562 1545266380.0040
MEM 145.476562 1545266380.1105
MEM 145.488281 1545266380.2208
MEM 145.550781 1545266380.3287
MEM 145.675781 1545266380.4372
MEM 145.683594 1545266380.5493
MEM 145.800781 1545266380.6618
MEM 145.867188 1545266380.7680
MEM 145.929688 1545266380.8799
MEM 146.000000 1545266380.9911
MEM 148.093750 1545266381.0962
MEM 148.093750 1545266381.2059
MEM 148.093750 1545266381.3216
MEM 148.093750 1545266381.4266
MEM 148.093750 1545266381.5344
MEM 148.093750 1545266381.6441
MEM 148.093750 1545266381.7565
MEM 148.093750 1545266381.8683
MEM 148.093750 1545266381.9809
